decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-67.581797	8.571187	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2023
-53.019255	4.977185	French Guiana	GF	HUMAN_OBSERVATION	2023
-62.70183	8.306101	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2023
-59.064905	4.170368	Guyana	GY	HUMAN_OBSERVATION	2023
-59.064733	4.169203	Guyana	GY	HUMAN_OBSERVATION	2023
-61.436384	5.903192	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2023
-61.717003	3.755086	Brazil	BR	HUMAN_OBSERVATION	2022
-59.123702	3.961487	Guyana	GY	HUMAN_OBSERVATION	2022
-62.671917	8.311775	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2022
-62.673837	8.314447	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2022
-58.774998	4.503184	Guyana	GY	HUMAN_OBSERVATION	2021
-58.955257	4.232564	Guyana	GY	HUMAN_OBSERVATION	2021
-58.68464	4.672133	Guyana	GY	HUMAN_OBSERVATION	2021
-62.674831	8.31602	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2020
-67.583213	8.57246	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2020
-61.43504	3.364101	Brazil	BR	HUMAN_OBSERVATION	2019
-58.994189	4.175611	Guyana	GY	HUMAN_OBSERVATION	2019
-52.13263	3.74167	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.39897	3.91587	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.51849	3.94175	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.10059	4.52924	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.66658	4.11471	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.50957	4.80865	French Guiana	GF	HUMAN_OBSERVATION	2019
-60.610633	5.053012	Brazil	BR	HUMAN_OBSERVATION	2019
-62.672112	8.312197	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2019
-52.3076	4.83893	French Guiana	GF	HUMAN_OBSERVATION	2018
-53.64794	4.98304	French Guiana	GF	HUMAN_OBSERVATION	2018
-59.063188	4.167286	Guyana	GY	HUMAN_OBSERVATION	2018
-52.51299	4.46443	French Guiana	GF	HUMAN_OBSERVATION	2017
-52.48753	4.65769	French Guiana	GF	HUMAN_OBSERVATION	2017
-52.21696	4.56776	French Guiana	GF	HUMAN_OBSERVATION	2016
-62.673958	8.314622	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2016
-52.48832	5.01943	French Guiana	GF	HUMAN_OBSERVATION	2016
-52.7657	4.93463	French Guiana	GF	HUMAN_OBSERVATION	2016
-68.078413	8.930861	Venezuela (Bolivarian Republic of)	VE	MACHINE_OBSERVATION	2015
-68.082168	8.933617	Venezuela (Bolivarian Republic of)	VE	MACHINE_OBSERVATION	2015
-68.14888	9.24987	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2015
-68.085022	8.933913	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2015
-54.46035	2.21252	French Guiana	GF	HUMAN_OBSERVATION	2015
-53.01296	5.23079	French Guiana	GF	HUMAN_OBSERVATION	2015
-59.556313	4.082848	Guyana	GY	HUMAN_OBSERVATION	2015
-54.45005	2.23402	French Guiana	GF	HUMAN_OBSERVATION	2015
-53.75812	2.97142	French Guiana	GF	HUMAN_OBSERVATION	2014
-53.32092	5.2731	French Guiana	GF	HUMAN_OBSERVATION	2014
-61.131592	8.607002	Venezuela (Bolivarian Republic of)	VE	HUMAN_OBSERVATION	2013
-53.72569	4.94635	French Guiana	GF	HUMAN_OBSERVATION	2013
-53.7546	5.15062	French Guiana	GF	HUMAN_OBSERVATION	2013
-52.91072	2.19274	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.82094	2.28327	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.50742	3.18804	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.91078	2.23795	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.79614	2.83866	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.46244	3.1881	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.99214	3.45582	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.37246	3.18823	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.03799	3.7267	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.59733	3.14268	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.55241	3.18797	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.47586	3.75106	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.10427	2.41027	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.43138	3.73168	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.36744	3.18012	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.07143	2.917	French Guiana	GF	HUMAN_OBSERVATION	2012
