decimalLongitude	decimalLatitude	country	countryCode	basisOfRecord	year
-53.326869	4.689094	French Guiana	GF	HUMAN_OBSERVATION	2023
-53.159354	3.04767	French Guiana	GF	HUMAN_OBSERVATION	2023
-52.53165	3.9254	French Guiana	GF	HUMAN_OBSERVATION	2022
-53.217683	3.735782	French Guiana	GF	HUMAN_OBSERVATION	2022
-55.890714	4.426773	Suriname	SR	HUMAN_OBSERVATION	2022
-52.790259	4.009972	French Guiana	GF	HUMAN_OBSERVATION	2021
-52.793877	4.14207	French Guiana	GF	HUMAN_OBSERVATION	2021
-52.666687	4.014831	French Guiana	GF	HUMAN_OBSERVATION	2021
-52.64648	4.157358	French Guiana	GF	HUMAN_OBSERVATION	2021
-52.51849	3.94175	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.98321	4.96476	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.13263	3.74167	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.75812	2.97142	French Guiana	GF	HUMAN_OBSERVATION	2019
-55.468927	4.221381	Suriname	SR	HUMAN_OBSERVATION	2019
-53.39897	3.91587	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.66658	4.11471	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.1157	3.6616	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.64794	4.98304	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.7657	4.93463	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.10059	4.52924	French Guiana	GF	HUMAN_OBSERVATION	2019
-56.303301	4.760482	Suriname	SR	HUMAN_OBSERVATION	2019
-56.285418	4.633807	Suriname	SR	HUMAN_OBSERVATION	2019
-54.27051	4.83035	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.01296	5.23079	French Guiana	GF	HUMAN_OBSERVATION	2019
-53.076111	3.780336	French Guiana	GF	HUMAN_OBSERVATION	2019
-52.51299	4.46443	French Guiana	GF	HUMAN_OBSERVATION	2018
-53.011371	3.65905	French Guiana	GF	HUMAN_OBSERVATION	2017
-53.040225	3.646452	French Guiana	GF	HUMAN_OBSERVATION	2017
-53.244242	3.595901	French Guiana	GF	HUMAN_OBSERVATION	2017
-54.10551	3.74905	French Guiana	GF	HUMAN_OBSERVATION	2017
-53.138543	3.04306	French Guiana	GF	HUMAN_OBSERVATION	2016
-52.771238	4.908579	French Guiana	GF	HUMAN_OBSERVATION	2016
-52.48832	5.01943	French Guiana	GF	HUMAN_OBSERVATION	2016
-53.269318	3.778239	French Guiana	GF	HUMAN_OBSERVATION	2016
-52.652104	4.16934	French Guiana	GF	HUMAN_OBSERVATION	2016
-53.38863	4.65521	French Guiana	GF	HUMAN_OBSERVATION	2015
-53.248415	3.938096	French Guiana	GF	HUMAN_OBSERVATION	2015
-52.5785	5.01922	French Guiana	GF	HUMAN_OBSERVATION	2015
-54.45005	2.23402	French Guiana	GF	HUMAN_OBSERVATION	2015
-51.85562	3.84462	French Guiana	GF	HUMAN_OBSERVATION	2014
-53.32092	5.2731	French Guiana	GF	HUMAN_OBSERVATION	2014
-52.25881	4.656144	French Guiana	GF	HUMAN_OBSERVATION	2014
-53.11434	3.02875	French Guiana	GF	HUMAN_OBSERVATION	2014
-54.37058	2.21272	French Guiana	GF	HUMAN_OBSERVATION	2013
-53.72569	4.94635	French Guiana	GF	HUMAN_OBSERVATION	2013
-54.32644	2.23803	French Guiana	GF	HUMAN_OBSERVATION	2013
-53.7546	5.15062	French Guiana	GF	HUMAN_OBSERVATION	2013
-54.03613	3.13948	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.82193	2.96146	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.94705	3.41078	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.9109	2.32837	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.37246	3.18823	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.68621	2.37387	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.19265	3.32413	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.99119	3.13961	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.82094	2.28327	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.99214	3.45582	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.03799	3.7267	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.7322	3.09725	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.12824	3.81672	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.59733	3.14268	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.46244	3.1881	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.02298	2.12478	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.709194	4.10529	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.03784	3.68153	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.5869	3.23107	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.91072	2.19274	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.73122	2.41903	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.12642	3.27471	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.99228	3.50099	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.77605	2.32854	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.1477	3.36941	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.37252	3.23345	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.81192	3.32083	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.17121	3.2294	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.64131	2.41914	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.99243	3.54616	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.73116	2.37382	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.86589	2.28322	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.19306	3.02609	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.1926	3.2789	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.46195	2.82634	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.91078	2.23795	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.03695	3.4105	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.77725	3.14239	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.79614	2.83866	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.00085	2.37345	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.08311	3.77171	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.04554	2.19256	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.21601	3.1841	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.17054	3.00358	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.77718	3.09718	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.91164	2.82568	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.39373	2.50619	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.03709	3.45567	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.55167	2.64534	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.67705	3.32121	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.08161	3.32002	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.50676	2.69062	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.37211	2.91689	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.08148	3.27485	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.86675	2.87097	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.4619	2.78112	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.77703	3.00675	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.00164	2.87074	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.64126	2.37393	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.67717	3.36639	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.68722	3.09732	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.03681	3.36533	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.90209	3.41092	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.35394	4.04165	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.21851	3.90671	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.1284	3.86188	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.76803	3.68241	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.47586	3.75106	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.07143	2.917	French Guiana	GF	HUMAN_OBSERVATION	2012
-54.18722	4.84694	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.25639	3.33814	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.21477	2.34632	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.77619	2.37986	French Guiana	GF	HUMAN_OBSERVATION	2012
-52.36301	3.22497	French Guiana	GF	HUMAN_OBSERVATION	2012
-53.00091	2.41866	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.7311	2.3286	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.821	2.32849	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.0812	3.18451	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.46201	2.87156	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.86583	2.238	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.23765	3.32407	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.94508	2.68798	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.23759	3.27885	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.55255	3.27841	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.19271	3.36935	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.03815	3.77187	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.64136	2.46436	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.04579	2.37338	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.04566	2.28297	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.14776	3.41463	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.59641	2.46442	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.64238	3.18783	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.08295	3.72654	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.822	3.00668	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.72176	3.23071	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.3273	3.05262	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.12808	3.77155	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.55228	3.09753	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.37217	2.96211	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.41745	3.18816	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.55156	2.55491	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.28253	3.23357	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.55241	3.18797	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.21816	3.81638	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.9566	2.82561	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.46184	2.7359	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.81205	3.36601	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.91096	2.37358	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.1708	3.09391	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.41704	2.87162	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.94761	3.59148	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.99	2.68787	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.99257	3.59134	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.85649	3.18516	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.21587	3.13894	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.50687	2.78106	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.82185	2.91625	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.85714	3.41106	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.5515	2.50969	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.76762	3.54687	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.37222	3.00734	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.25949	2.68718	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.67624	3.00491	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.03667	3.32016	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.64231	3.14261	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.3208	4.02241	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.17166	4.38426	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.17028	2.91325	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.32747	3.18829	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.50742	3.18804	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.18566	4.3653	French Guiana	GF	HUMAN_OBSERVATION	2011
-53.90449	3.5355	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.19142	3.96386	French Guiana	GF	HUMAN_OBSERVATION	2011
-54.07424	4.97064	French Guiana	GF	HUMAN_OBSERVATION	2011
-52.32741	3.14306	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.95652	2.7804	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.00156	2.82553	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.41751	3.23339	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.41739	3.14294	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.59681	2.78094	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.09611	3.0235	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.08277	3.01861	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.28248	3.18834	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.10286	3.50514	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.26107	3.69234	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.23741	4.0561	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.73528	4.0705	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.35013	4.29056	French Guiana	GF	HUMAN_OBSERVATION	2010
-51.82625	4.21051	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.27461	3.60902	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.13713	4.58023	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.04218	3.04715	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.29342	3.58784	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.11744	3.76701	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.76508	4.88028	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.96567	4.98365	French Guiana	GF	HUMAN_OBSERVATION	2010
-54.29629	2.32756	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.35347	4.41041	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.95753	3.30391	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.547	2.96512	French Guiana	GF	HUMAN_OBSERVATION	2010
-54.38459	4.4742	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.07759	5.43465	French Guiana	GF	HUMAN_OBSERVATION	2010
-51.82611	4.4761	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.2178	2.44257	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.31755	3.72491	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.00168	2.39371	French Guiana	GF	HUMAN_OBSERVATION	2010
-54.03273	2.59705	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.22378	3.4636	French Guiana	GF	HUMAN_OBSERVATION	2010
-52.44192	4.55026	French Guiana	GF	HUMAN_OBSERVATION	2010
-53.21884	3.58007	French Guiana	GF	HUMAN_OBSERVATION	2008
-54.47051	4.92161	French Guiana	GF	HUMAN_OBSERVATION	2007
-54.19577	3.83905	French Guiana	GF	HUMAN_OBSERVATION	2006
-54.46959	4.74101	French Guiana	GF	HUMAN_OBSERVATION	2006
-54.46914	4.65071	French Guiana	GF	HUMAN_OBSERVATION	2006
-53.91843	4.79052	French Guiana	GF	HUMAN_OBSERVATION	2006
-54.738	4.27	Suriname	SR	HUMAN_OBSERVATION	2005
-52.31589	3.53298	French Guiana	GF	HUMAN_OBSERVATION	2005
-52.57396	2.48705	French Guiana	GF	HUMAN_OBSERVATION	2003
-52.75355	2.30597	French Guiana	GF	HUMAN_OBSERVATION	2003
-52.66376	2.39651	French Guiana	GF	HUMAN_OBSERVATION	2003
-52.21512	3.30149	French Guiana	GF	HUMAN_OBSERVATION	2003
-52.39452	2.84903	French Guiana	GF	HUMAN_OBSERVATION	2002
-52.48436	2.75848	French Guiana	GF	HUMAN_OBSERVATION	2002
-52.21501	3.21104	French Guiana	GF	HUMAN_OBSERVATION	2002
-54.01469	3.47833	French Guiana	GF	HUMAN_OBSERVATION	2002
-52.48425	2.66804	French Guiana	GF	HUMAN_OBSERVATION	2002
-52.67803	4.03546	French Guiana	GF	HUMAN_OBSERVATION	2001
-53.30211	4.58764	French Guiana	GF	HUMAN_OBSERVATION	1999
